batch,error,filename,path,Roll,q9,q10,q11,q12,q13,q1,q2,q3,q4,q5,q6,q7,q8,q14,q15,q16,score
0,0,CityName_20190424_133821.jpg,inputs/OMR_Files/CityName/HE/20190424_133821.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133829.jpg,inputs/OMR_Files/CityName/HE/20190424_133829.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133821.jpg,inputs/OMR_Files/CityName/HE/20190424_133821.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133829.jpg,inputs/OMR_Files/CityName/HE/20190424_133829.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133821.jpg,inputs/OMR_Files/CityName/HE/20190424_133821.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133829.jpg,inputs/OMR_Files/CityName/HE/20190424_133829.jpg,HE503100058,38,08,15,26,37,D,B,C,B,D,B,A,C,B,D,C,8
0,0,CityName_20190424_133821.jpg,inputs/OMR_Files/CityName/HE/20190424_133821.jpg,HE,49,19,26,,,,,,,,,,,,,,,,,,,,,,,1
0,0,CityName_20190424_133829.jpg,inputs/OMR_Files/CityName/HE/20190424_133829.jpg,HE,49,,,,,,,,,,,,,,,,,,,,,,,,,2
